City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,happy valley-goose bay,53.3168,-60.3315,32.31,37,75,16.11,CA,1744234186
1,kodiak,57.79,-152.4072,36.91,52,0,6.91,US,1744234187
2,vorgashor,67.5833,63.95,20.71,79,100,18.48,RU,1744234189
3,kyaikkami,16.08,97.5675,84.47,71,100,6.46,MM,1744234190
4,papatowai,-46.5619,169.4708,52.72,75,22,6.06,NZ,1744234192
5,ilulissat,69.2167,-51.1,28.42,93,100,12.66,GL,1744234193
6,tommot,58.9564,126.2925,20.55,95,100,6.91,RU,1744234195
7,lijiang,26.8688,100.2207,45.3,82,0,4.85,CN,1744234196
8,jamestown,42.097,-79.2353,42.03,47,75,5.75,US,1744234067
9,qaqortoq,60.7167,-46.0333,30.79,84,100,4.88,GL,1744234199
10,waiuku,-37.25,174.75,60.46,56,17,3.71,NZ,1744234200
11,grytviken,-54.2811,-36.5092,43.65,81,32,6.29,GS,1744234201
12,praia da vitoria,38.7333,-27.0667,59.25,82,75,16.93,PT,1744234202
13,bilibino,68.0546,166.4372,12.29,89,77,4.03,RU,1744234204
14,bredasdorp,-34.5322,20.0403,62.37,87,49,4.12,ZA,1744234205
15,talnakh,69.4865,88.3972,-12.68,95,68,5.91,RU,1744234206
16,namibe,-15.1961,12.1522,70.7,78,15,6.78,AO,1744234207
17,waitangi,-43.9535,-176.5597,56.82,86,74,5.01,NZ,1744234208
18,inirida,3.8653,-67.9239,79.61,92,98,1.1,CO,1744234209
19,nuuk,64.1835,-51.7216,32.61,74,75,8.99,GL,1744234211
20,tual,-5.6667,132.75,83.39,75,100,13.18,ID,1744234212
21,karaidel',55.8337,56.9069,34.27,93,100,4.54,RU,1744234214
22,georgetown,5.4112,100.3354,80.53,83,20,2.3,MY,1744234215
23,qarazhal,48.0078,70.7903,52.11,62,58,8.23,KZ,1744234217
24,hovd,48.0056,91.6419,40.57,66,98,1.01,MN,1744234218
25,burao,9.5221,45.5336,70.39,24,75,8.14,SO,1744234219
26,chelak,39.9203,66.8611,57.96,62,10,8.32,UZ,1744234220
27,itapirapua,-15.8233,-50.6133,79.9,66,100,0.56,BR,1744234222
28,keflavik,64.0049,-22.5624,48.63,100,100,18.41,IS,1744234223
29,tolanaro,-25.0319,46.9987,73.44,90,7,4.09,MG,1744234224
30,edinburgh of the seven seas,-37.0676,-12.3116,64.89,90,9,12.75,SH,1744234226
31,bethel,41.3712,-73.414,49.01,28,0,4.0,US,1744234038
32,kenai,60.5544,-151.2583,37.49,74,40,9.22,US,1744234228
33,yellowknife,62.456,-114.3525,39.72,70,75,6.91,CA,1744233937
34,mugia,43.1041,-9.2179,59.92,77,3,14.27,ES,1744234231
35,chumphon,10.3333,98.8333,73.08,95,100,0.58,TH,1744234232
36,adamstown,-25.066,-130.1015,73.69,69,40,8.57,PN,1744234236
37,bo phloi,14.3236,99.5161,81.27,77,100,2.51,TH,1744234237
38,gadzhiyevo,69.2551,33.3362,21.65,83,100,28.05,RU,1744234238
39,shushenskoye,53.325,91.9356,30.99,85,100,7.96,RU,1744234240
40,khandyga,62.6667,135.6,27.64,89,100,3.74,RU,1744234241
41,avarua,-21.2078,-159.775,84.25,74,20,11.5,CK,1744234102
42,waat,51.1454,6.4958,47.98,76,57,11.5,DE,1744234245
43,luuq,3.7938,42.5445,83.5,63,34,16.02,SO,1744234246
44,selibaby,15.159,-12.1829,94.26,19,20,1.99,MR,1744234248
45,yambio,4.5721,28.3955,75.45,58,64,0.51,SS,1744234251
46,zyryanovsk,49.7386,84.2719,35.47,99,100,1.07,KZ,1744234252
47,haiku-pauwela,20.9219,-156.3051,79.25,72,40,17.27,US,1744234254
48,port-aux-francais,-49.35,70.2167,40.03,66,7,22.88,TF,1744234256
49,pendleton,45.6721,-118.7886,64.0,53,0,9.22,US,1744234257
50,saldanha,-33.0117,17.9442,62.31,93,23,6.98,ZA,1744234258
51,aparecida de goiania,-16.8233,-49.2439,76.06,73,90,2.48,BR,1744234259
52,margaret river,-33.95,115.0667,63.7,67,97,3.78,AU,1744234261
53,saint-joseph,-21.3667,55.6167,77.38,81,26,1.25,RE,1744234262
54,lihue,21.9789,-159.3672,71.74,83,100,17.27,US,1744234263
55,vangaindrano,-23.35,47.6,74.43,92,70,2.91,MG,1744234264
56,rotonda west,26.8837,-82.2901,80.98,60,0,14.97,US,1744234023
57,glace bay,46.1969,-59.957,37.96,68,75,14.97,CA,1744234267
58,afaahiti,-17.75,-149.2833,80.06,66,100,19.55,PF,1744234268
59,badger,64.8,-147.5333,27.0,68,75,3.44,US,1744234270
60,whitehorse,60.7161,-135.0538,41.77,38,75,10.36,CA,1744234076
61,fortaleza,-3.7227,-38.5247,83.21,78,20,10.36,BR,1744234031
62,sangin,32.0728,64.8359,70.86,25,45,8.37,AF,1744234274
63,port saint john's,-31.6229,29.5448,69.42,80,26,16.73,ZA,1744234275
64,buk,52.3553,16.5196,47.1,66,100,17.09,PL,1744234277
65,stanley,54.868,-1.6985,42.82,81,75,3.44,GB,1744234278
66,new norfolk,-42.7826,147.0587,56.71,75,29,3.62,AU,1744234280
67,puerto natales,-51.7236,-72.4875,55.85,58,75,18.41,CL,1744234282
68,taltal,-25.4,-70.4833,65.46,77,86,4.18,CL,1744234283
69,tadine,-21.55,167.8833,76.05,85,100,14.41,NC,1744234285
70,papao,-17.75,-149.55,85.68,70,100,21.07,PF,1744234287
71,lautoka,-17.6167,177.4667,84.06,70,40,3.44,FJ,1744234289
72,cocieri,47.3075,29.1103,35.26,62,74,5.53,MD,1744234291
73,olonkinbyen,70.9221,-8.7187,27.27,96,100,17.92,SJ,1744234294
74,iqaluit,63.7506,-68.5145,24.53,62,100,18.41,CA,1744234091
75,ceres,37.5949,-120.9577,80.11,35,0,11.5,US,1744234296
76,sterling,39.0062,-77.4286,56.25,32,40,11.5,US,1744234132
77,saipan,15.1355,145.701,79.5,83,20,5.75,MP,1744234301
78,wailua homesteads,22.0669,-159.378,71.13,90,100,17.27,US,1744234302
79,port elizabeth,-33.918,25.5701,65.32,98,20,11.5,ZA,1744234187
80,longyearbyen,78.2186,15.6401,3.04,55,20,18.41,SJ,1744234305
81,yatou,37.15,122.3833,40.32,88,0,6.38,CN,1744234306
82,akjoujt,19.6969,-14.4164,79.52,30,0,13.2,MR,1744234307
83,sault ste. marie,46.5168,-84.3333,37.22,48,40,6.91,CA,1744234229
84,vilyuchinsk,52.9306,158.4028,32.27,86,62,2.86,RU,1744234310
85,ushuaia,-54.8,-68.3,51.46,71,40,21.85,AR,1744234121
86,chos malal,-37.3781,-70.2709,73.47,23,74,2.93,AR,1744234312
87,invercargill,-46.4,168.35,55.02,80,23,3.0,NZ,1744234313
88,ribeira grande,38.5167,-28.7,59.77,72,40,21.0,PT,1744234314
89,kalabo,-14.97,22.6814,72.23,74,58,2.08,ZM,1744234316
90,mount isa,-20.7333,139.5,62.37,94,0,5.75,AU,1744234317
91,punta arenas,-53.15,-70.9167,51.91,66,75,25.32,CL,1744234318
92,estacion coahuila,32.1939,-115.0017,94.8,8,1,12.5,MX,1744234319
93,vilanova i la geltru,41.2239,1.7251,60.24,100,34,4.23,ES,1744234320
94,robertsport,6.7533,-11.3686,81.57,85,56,7.43,LR,1744234322
95,sarupathar,26.1984,93.8094,75.88,56,80,2.55,IN,1744234323
96,anadyr,64.75,177.4833,5.5,65,0,4.47,RU,1744234324
97,college,64.8569,-147.8028,27.09,68,75,3.44,US,1744234326
98,el porvenir,13.7617,-87.3458,80.62,50,82,9.51,HN,1744234327
99,anshun,26.25,105.9333,56.3,97,77,2.37,CN,1744234205
100,yuzhno-kurilsk,44.0306,145.8556,36.97,97,100,4.29,RU,1744234330
101,mournies,35.4764,24.0092,68.07,100,40,3.44,GR,1744234332
102,hawaiian paradise park,19.5933,-154.9731,80.02,69,75,6.91,US,1744234333
103,soio,-6.1349,12.3689,78.35,84,86,12.15,AO,1744234334
104,tofol,5.3248,163.0078,82.67,80,38,15.1,FM,1744234336
105,mulayjah,27.271,48.4242,76.8,21,0,5.5,SA,1744234337
106,talagang,32.9297,72.4158,74.43,43,89,1.12,PK,1744234339
107,mount gambier,-37.8333,140.7667,59.25,48,52,7.74,AU,1744234340
108,rio grande,-32.035,-52.0986,68.88,91,39,24.43,BR,1744234181
109,aasiaat,68.7098,-52.8699,25.74,94,100,4.68,GL,1744234343
110,phan rang-thap cham,11.5667,108.9833,75.6,87,97,3.83,VN,1744234346
111,akureyri,65.6835,-18.0878,55.33,58,75,27.63,IS,1744234347
112,kindu,-2.95,25.95,72.52,89,98,1.57,CD,1744234348
113,shizunai-furukawacho,42.3339,142.3669,42.39,84,86,7.61,JP,1744234350
114,sitka,57.0531,-135.33,46.29,57,75,9.22,US,1744234351
115,bastia,42.6667,9.3333,53.02,91,75,3.44,FR,1744234352
116,quellon,-43.1167,-73.6167,52.75,93,97,8.5,CL,1744234354
117,codrington,-38.2667,141.9667,58.98,56,12,11.81,AU,1744234355
118,hithadhoo,-0.6,73.0833,77.76,89,100,20.22,MV,1744234357
119,amga,60.8953,131.9608,32.59,85,100,9.4,RU,1744234359
120,lagunas,-5.2269,-75.6753,74.77,95,100,2.64,PE,1744234360
121,nemuro,43.3236,145.575,38.82,86,45,7.11,JP,1744234361
122,albany,42.6001,-73.9662,43.57,39,89,4.0,US,1744234251
123,kurumkan,54.3,110.3,25.03,66,100,2.08,RU,1744234364
124,tingi,-11.3,35.0333,63.88,92,13,2.84,TZ,1744234366
125,concepcion,-36.827,-73.0498,60.6,67,75,8.05,CL,1744234352
126,puerto leguizamo,-0.1934,-74.7819,75.4,95,100,1.66,CO,1744234369
127,spring valley,36.108,-115.245,90.81,14,0,10.36,US,1744234371
128,plouzane,48.3833,-4.6167,48.25,86,0,12.66,FR,1744234372
129,santa terezinha,-29.9002,-50.0904,72.91,82,20,10.2,BR,1744234225
130,mega,4.05,38.3,61.25,83,46,5.5,ET,1744234375
131,klyuchi,52.2667,79.1667,44.2,75,3,4.21,RU,1744234377
132,salalah,17.0151,54.0924,80.69,89,20,0.0,OM,1744234378
133,ust-nera,64.5667,143.2,20.97,95,100,4.5,RU,1744234380
134,tazovsky,67.4667,78.7,1.36,91,43,10.92,RU,1744234383
135,gamba,-2.65,10.0,79.18,86,71,8.08,GA,1744234384
136,puerto san jose,13.9256,-90.8244,91.09,55,73,15.64,GT,1744234387
137,fuglafjordur,62.244,-6.814,45.1,88,3,6.31,FO,1744234388
138,hermanus,-34.4187,19.2345,61.81,86,31,7.38,ZA,1744234390
139,eirunepe,-6.6603,-69.8736,81.07,82,99,2.24,BR,1744234391
140,portland,45.5234,-122.6762,65.95,61,75,4.61,US,1744234392
141,bayville,40.9106,-73.5621,49.55,29,0,5.99,US,1744234394
142,blackmans bay,-43.0167,147.3167,54.52,80,68,10.07,AU,1744234395
143,glubokoye,50.1456,82.3114,38.95,100,100,4.47,KZ,1744234396
144,tralee,52.2704,-9.7026,47.79,84,0,1.54,IE,1744234398
145,robore,-18.3333,-59.75,80.69,74,40,0.0,BO,1744234399
146,sydney,-33.8679,151.2073,63.7,90,0,4.61,AU,1744234202
147,rabigh,22.7986,39.0349,82.74,61,0,3.47,SA,1744234402
148,st. john's,47.5649,-52.7093,37.98,76,75,17.27,CA,1744234315
149,howrah,22.5892,88.3103,80.6,78,3,10.36,IN,1744234406
150,selkirk,50.1436,-96.8845,38.17,86,100,10.0,CA,1744234123
151,bikenibeu village,1.3673,173.1241,84.16,84,20,6.91,KI,1744234408
152,vadso,70.0744,29.7487,15.96,79,20,21.85,NO,1744234409
153,vila velha,-20.3297,-40.2925,80.55,90,75,8.05,BR,1744234411
154,thakhek,17.4103,104.8307,78.17,88,100,1.9,LA,1744234412
155,kedainiai,55.2883,23.9747,29.61,67,42,16.26,LT,1744234413
156,port mathurin,-19.6833,63.4167,80.28,74,79,10.6,MU,1744234415
157,ponta delgada,37.7333,-25.6667,59.72,82,75,14.97,PT,1744234416
158,kobelyaky,49.1489,34.1965,31.17,59,53,6.98,UA,1744234418
159,noumea,-22.2763,166.4572,81.0,99,77,6.15,NC,1744234419
160,uturoa,-16.7333,-151.4333,82.85,70,99,20.89,PF,1744234421
161,laguna,38.421,-121.4238,80.08,39,0,10.36,US,1744234422
162,at taj,24.2049,23.2857,60.75,32,0,14.97,LY,1744234423
163,tiksi,71.6872,128.8694,4.19,97,100,8.61,RU,1744234424
164,beledweyne,4.7358,45.2036,81.25,65,27,15.88,SO,1744234425
165,shulan,44.4167,126.95,47.08,59,13,15.26,CN,1744234427
166,tromso,69.6496,18.957,21.22,73,40,3.44,NO,1744234428
167,lubang,13.8584,120.124,80.33,79,60,13.38,PH,1744234429
168,nuriootpa,-34.4833,139.0,65.05,42,67,4.79,AU,1744234430
169,pinheiro machado,-31.5783,-53.3811,62.06,100,81,4.03,BR,1744234266
170,khovd,48.0056,91.6419,40.57,66,98,1.01,MN,1744234218
171,sayalkudi,9.1833,78.45,83.75,69,94,8.99,IN,1744234434
172,santa elena de uairen,4.6167,-61.1333,72.07,82,97,2.42,VE,1744234436
173,atafu village,-8.5421,-172.5159,82.24,76,73,5.19,TK,1744234437
174,opuwo,-18.0607,13.84,65.71,52,50,3.98,NA,1744234149
175,ocean shores,46.9737,-124.1563,59.45,66,20,8.05,US,1744234439
176,isafjordur,66.0755,-23.124,41.2,97,100,10.33,IS,1744234441
177,levuka,50.1834,-105.4011,60.53,36,75,20.71,CA,1744234442
178,robit,12.0167,39.6333,68.11,32,72,3.87,ET,1744234444
179,alofi,-19.0595,-169.9187,84.09,79,75,12.66,NU,1744234445
180,schuyler,42.4167,-76.883,44.08,36,82,4.0,US,1744234447
181,udachny,66.4167,112.4,-4.79,100,97,4.27,RU,1744234449
182,hamilton,39.1834,-84.5333,46.78,79,100,1.99,US,1744234185
183,annau,37.8876,58.516,63.9,52,0,4.61,TM,1744234453
184,north bend,43.4065,-124.2243,67.24,72,75,3.44,US,1744234454
185,castelli,-25.9468,-60.6195,69.73,59,0,6.64,AR,1744234455
186,narvik,68.4384,17.4272,23.81,87,100,6.42,NO,1744234457
187,borshchiv,48.8033,26.0435,33.04,84,100,9.51,UA,1744234458
188,puerto ayora,-0.7393,-90.3518,82.54,93,100,4.0,EC,1744234459
189,enewetak,11.3474,162.3373,81.25,79,21,20.54,MH,1744234461
190,ancud,-41.8697,-73.8203,53.53,93,100,9.04,CL,1744234424
191,taoudenni,22.6783,-3.9836,85.75,12,20,11.03,ML,1744234463
192,colares,38.7992,-9.4469,72.59,62,0,6.91,PT,1744234464
193,kingston,17.997,-76.7936,88.16,70,20,10.36,JM,1744234466
194,port alfred,-33.5906,26.891,65.17,91,8,5.01,ZA,1744234467
195,kerikeri,-35.2268,173.9474,59.92,89,29,5.12,NZ,1744234468
196,iwanai,42.9744,140.5089,47.19,70,100,4.12,JP,1744234470
197,la arena,-5.3466,-80.7109,86.99,46,100,12.26,PE,1744234472
198,yarmouth,41.7057,-70.2286,44.62,52,0,9.22,US,1744234474
199,rondonopolis,-16.4708,-54.6356,76.21,85,100,2.93,BR,1744234267
200,berezovyy,51.6667,135.7,35.82,76,34,3.94,RU,1744234477
201,kashary,49.04,41.0056,38.25,74,100,7.25,RU,1744234478
202,miles city,46.4083,-105.8406,61.77,21,75,20.71,US,1744234382
203,labrador city,52.9463,-66.9114,12.11,62,100,19.57,CA,1744234481
204,margate,51.3813,1.3862,44.87,77,9,3.0,GB,1744234482
205,west island,-12.1568,96.8225,82.38,83,75,16.11,CC,1744234484
206,kamloops,50.6665,-120.3192,57.74,45,75,10.36,CA,1744234485
207,leeton,-34.5667,146.4,62.1,49,98,1.77,AU,1744234487
208,dwarka,22.2394,68.9678,79.36,77,51,10.47,IN,1744234488
209,cuyo,10.8525,121.0086,82.44,77,100,4.16,PH,1744234489
210,viedma,-40.8135,-62.9967,63.57,69,98,17.74,AR,1744234491
211,dudinka,69.4058,86.1778,-9.44,98,95,7.18,RU,1744234493
212,la plata,-34.9215,-57.9545,67.05,78,92,13.02,AR,1744234372
213,nova sintra,14.8667,-24.7167,71.24,86,9,15.12,CV,1744234497
214,san rafael,-34.6177,-68.3301,71.65,42,87,13.87,AR,1744234261
215,biharamulo,-2.6319,31.3089,62.94,85,35,0.92,TZ,1744234500
216,lebu,-37.6167,-73.65,60.26,72,100,12.1,CL,1744234501
217,argo,37.6333,22.7333,47.3,74,8,2.15,GR,1744234502
218,faya-largeau,17.9257,19.1043,83.32,22,4,25.23,TD,1744234503
219,orlu,5.7946,7.035,79.02,84,98,7.05,NG,1744234504
220,ljusdal,61.8288,16.0913,32.63,53,33,9.46,SE,1744234506
221,abepura,-2.6333,140.5833,76.01,100,40,1.14,ID,1744234507
222,ma'rib,15.4591,45.3253,71.82,18,5,2.19,YE,1744234508
223,kristiansund,63.1115,7.732,38.05,65,100,6.91,NO,1744234510
224,coquimbo,-29.9533,-71.3436,65.93,75,20,9.22,CL,1744234511
225,ketchikan,55.3422,-131.6461,49.33,71,75,16.11,US,1744234512
226,mammoth lakes,37.6485,-118.9721,65.26,11,0,10.36,US,1744234513
227,konarka,19.9,86.1167,78.71,80,49,7.18,IN,1744234514
228,san antonio de pale,-1.4014,5.6325,81.57,76,37,12.62,GQ,1744234515
229,tosontsengel,48.7567,98.2839,25.3,85,41,4.61,MN,1744234517
230,susuman,62.7833,148.1667,21.54,95,100,2.17,RU,1744234518
231,tabas,33.5959,56.9244,74.55,21,0,2.82,IR,1744234273
232,carnarvon,-24.8667,113.6333,76.68,51,0,17.16,AU,1744234522
233,val-d'or,48.1002,-77.7828,32.09,25,20,14.97,CA,1744234523
234,byron bay,-28.65,153.6167,66.18,91,62,9.33,AU,1744234524
235,terra nova,-12.3667,-40.6667,77.0,61,65,3.8,BR,1744234525
236,auki,-8.7676,160.7034,82.27,79,97,1.25,SB,1744234529
237,mwinilunga,-11.7358,24.4293,63.64,92,13,1.59,ZM,1744234442
238,knyaze-volkonskoye,48.4642,135.4567,30.54,63,16,9.82,RU,1744234531
239,kapa'a,22.0752,-159.319,71.92,89,100,17.27,US,1744234533
240,lazaro cardenas,17.9583,-102.2,83.25,52,28,13.65,MX,1744234534
241,daru,-9.0763,143.2092,78.49,91,98,6.08,PG,1744234535
242,dryden,49.7833,-92.7503,44.89,33,0,8.05,CA,1744234536
243,utrik,11.2278,169.8474,80.74,81,29,19.62,MH,1744234537
